name,restaurant,date,STUDENT,DOCTORANT,CAMPUS,VISITOR
Cordon bleu de Porc Suisse  quartier de citron Pommes frites Carottes vapeur,Alpine,2022-10-27,13.5,14.0,14.5,15.5
Ravioli ricotta et basilic  sauce tomate et pousses d'épinards,Arcadie,2022-10-27,10.0,12.0,12.0,12.0
Lasagne aux légumes,Arcadie,2022-10-27,8.1,8.8,9.9,11.3
chicken palak (poulet épinards)  daal  raïta  riz,Chez Bilia - food truck,2022-10-27,7.0,7.0,7.0,7.0
matar paneer  daal  raïta  riz,Chez Bilia - food truck,2022-10-27,7.0,7.0,7.0,7.0
Cuisse de Poulet Suisse  sauce du chef Noï Riz jasmin et wok de légume,Ginko,2022-10-27,11.5,12.0,12.5,13.5
Nuggets de poulet  frites et salades,Hopper,2022-10-27,8.1,9.9,11.0,13.6
Galette Bretonne Epinards  chèvres  confit d'oignon Salade verte,La Ruche,2022-10-27,10.0,11.0,12.0,13.0
Escalope de porc panée Citron et risoni,La Ruche,2022-10-27,11.0,12.0,13.0,14.0
Pâtes Pad Thaï végé,La Ruche,2022-10-27,7.5,12.0,12.0,12.0
[Swiss Burger] Pain bun  crème de moutarde à l’ancienne  gruyère  coleslaw  oignons frits  sucrine  bœuf braisé au vin rouge - Servi avec Twisted potatoes ou Légumes ou Salade mêlée ,La Table de Vallotton by Novae,2022-10-27,13.0,16.0,16.0,16.0
[Mexican Veggie Burger] Pain bun  mayonnaise au curry  cheddar  tomates  sucrine  galette de haricots rouges et coriandre - Servi avec Twisted potatoes ou Légumes ou Salade mêlée ,La Table de Vallotton by Novae,2022-10-27,13.0,16.0,16.0,16.0
[La Pasta] Tagliatelles  champignon du moment  roquette  parmesan  chips de bacon,La Table de Vallotton by Novae,2022-10-27,14.0,17.0,17.0,17.0
[La Pasta Veggie] Penne  champignon du moment  crème de Grana Padano  roquette  chips de parmesan,La Table de Vallotton by Novae,2022-10-27,13.0,16.0,16.0,16.0
[La Salade Veggie] Salade César avec sucrine  tomates cerises  parmesan  croûtons  sauce César  quorn  oeuf ,La Table de Vallotton by Novae,2022-10-27,15.0,18.0,18.0,18.0
[La Pièce du Boucher] Entrecôte parisienne (220gr)  beurre maître d’hôtel - Servie avec Twisted potatoes ou Légumes ou Salade mêlée,La Table de Vallotton by Novae,2022-10-27,22.0,25.0,25.0,25.0
[La Pièce du Primeur] Aubergine grillée  jus corsé curry-tomate  riz jasmin parfumé à la cannelle  sauce raïta,La Table de Vallotton by Novae,2022-10-27,19.0,22.0,22.0,22.0
[Le Ceviche] Coriandre  zestes et jus de citron vert  piment rouge  gingembre  tabasco  daurade  pain toasté - Servi avec Twisted potatoes ou Légumes ou Salade mêlée,La Table de Vallotton by Novae,2022-10-27,22.0,25.0,25.0,25.0
Mijoté de porc aux citrons confit  pomme de terre rôti et carotte vapeur,Le Klee by Novae,2022-10-27,10.0,11.0,12.0,13.0
Emincé de porc aux 4 épices  riz jasmin  poivrons rôtis,Microcity,2022-10-27,10.5,12.0,13.0,14.0
Pastilla aux oeufs  légumes oriantales  semoule  bouillon à la coriandre,Microcity,2022-10-27,10.5,12.0,13.0,14.0
Pizza napolitaine  salade roquette  soupe ou salade verte,Microcity,2022-10-27,8.1,8.8,9.9,11.3
Salade d'automne: Endives  pommes de terre  gruyère  oignons  noix,Microcity,2022-10-27,12.0,12.0,12.0,12.0
Bagel aux graines  jackfruit pulled pork  mélange de choux  véganaise accompagné d'une salade rampon et julienne e légumes,Native,2022-10-27,11.3,12.1,12.6,14.1
Moules marinières et frites,Ornithorynque,2022-10-27,12.0,13.5,14.5,15.5
Tartiflette végétarienne au tofu Bio  salade mêlée,Ornithorynque,2022-10-27,8.0,9.5,9.9,10.9
Nouilles sautées aux légumes  pousses de soja et cacahuètes,Ornithorynque,2022-10-27,7.0,8.0,8.8,10.0
Risotto pesto di basilico et Gamberi ,Piano ,2022-10-27,8.6,9.9,11.0,13.5
Cuisse de poulet aux olives  quinoa et courgettes au thym,Piano ,2022-10-27,13.8,14.9,14.9,16.9
